ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url
786180,z7r,001/2024/DRFPMarrakech,Appel d'offres ouvert simplifié,AOS,Services,gardiennage et surveillance des locaux administratifs du siège de la Délégation Régionale de la Formation Professionnelle de Marrakech.,DELEGUE REGIONAL DE LA FORMMATION PROFESSIONNELLE MARRAKECH,MARRAKECH,09/01/2025,21/01/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=786180&orgAcronyme=z7r
821986,m8x,01/2025/C.TT,Consultation architecturale ouverte,CONSA,Services,Consultation architecturale et suivi des travaux de construction d’une morgue à la ville de Tan-Tan -Province de Tan-Tan.,Commune urbaine de TAN-TAN,TAN-TAN,08/01/2025,30/01/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=821986&orgAcronyme=m8x
827375,o8p,63/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,CONTROLE ET OPTIMISATION DES ETUDES TECHNIQUES ET CONTROLE DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE TIKID – PROVINCE D’AZILAL,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,MAROC,13/01/2025,18/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=827375&orgAcronyme=o8p
827608,o8p,64/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,ELABORATION DES ETUDES TECHNIQUES ET SUIVI DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE TIKID – PROVINCE D’AZILAL,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,MAROC,10/01/2025,19/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=827608&orgAcronyme=o8p
828144,o8p,67/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,CONTROLE ET OPTIMISATION DES ETUDES TECHNIQUES ET CONTROLE DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE ATIQ – A ZAOUIAT CHEIKH – PROVINCE DE BENI MELLAL,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,BENI MELLAL,13/01/2025,10/03/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=828144&orgAcronyme=o8p
829354,o8p,69/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,"ETUDE GEOTECHNIQUE, RECEPTION DE FONDS DE FOUILLES ET CONTROLE DE QUALITE DES TRAVAUX de RECONSTRUCTION DE LA MOSQUÉE ATIQ – A ZAOUIAT CHEIKH – PROVINCE DE BENI MELLAL",DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,BENI MELLAL,13/01/2025,14/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=829354&orgAcronyme=o8p
829478,o8p,70/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,CONTROLE ET OPTIMISATION DES ETUDES TECHNIQUES ET CONTROLE DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE HAY BOUDRAA – PROVINCE DE KHENIFRA,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,MAROC,13/01/2025,20/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=829478&orgAcronyme=o8p
829483,o8p,71/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,ELABORATION DES ETUDES TECHNIQUES ET SUIVI DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE HAY BOUDRAA – PROVINCE DE KHENIFRA,DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,MAROC,10/01/2025,25/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=829483&orgAcronyme=o8p
829530,o8p,72/2024/ANEPCO,Appel d'offres ouvert,AOO,Services,"ETUDE GEOTECHNIQUE, RECEPTION DE FONDS DE FOUILLES ET CONTROLE DE QUALITE DES TRAVAUX DE RECONSTRUCTION DE LA MOSQUÉE HAY BOUDRAA – PROVINCE DE KHENIFRA",DIRECTION REGIONALE DE L'AGENCE NATIONALE DES EQUIPEMENTS PUBLICS DU CENTRE OUEST,MAROC,13/01/2025,20/02/2025 11:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=829530&orgAcronyme=o8p
833115,q9t,49/2024/DRSPSGON,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DE REHABILITATION DES ETABLISSEMENTS DE SOINS DE SANTÉ PRIMAIRES DE LA REGION GUELMIM OUED NOUN : PROVINCE GUELMIM CSR1 ASSRIR / CSR1 AFERKET) LOT UNIQUE,DIRECTEUR REGIONAL DE LA SANTE A LA REGION DE GUELMIM OUED NOUN,GUELMIM,11/01/2025,11/02/2025 10:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=833115&orgAcronyme=q9t
