ref_consultation,org_acronyme,reference,type_procedure,type_procedure_abbrev,categorie,objet,acheteur,lieu_execution,date_publication,date_limite,statut,url,est_annule,resultat_definitif,nombre_lots,estimation_totale_ttc
1000014,m8x,24/BR/RGON/2026,Appel d'offres ouvert,AOO,Travaux,TRAVAUX DE MISE A NIVEAU DE LA VOIE MENANT A LA ZONE D’ACTIVITE ECONOMIQUE AU STADE DE TIHOUNA EST ET A LA ROUTE DE FAM EL HISN,REGION DE GUELMIM - OUED NOUN,ASSA-ZAG,2026-07-08,2026-08-04 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1000014&orgAcronyme=m8x,False,False,1,26176818.12
1000121,t5y,15/2026/DPBM,Appel d'offres ouvert,AOO,Services,"Le gardiennage et la sécurité des tribunaux de première instance de Fkih Ben Salah, Souk Sebt, Kasbat Tadla et les centres judiciaires de leurs ressorts, tribunal de famille de Fkih Ben Salah, tribunaux de première instance commercial et administratif à Beni-Mellal en lot unique",DIRECTION PROVINCIALE DE LA JUSTICE BENI MELLAL,BENI MELLAL,2026-07-02,2026-08-13 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1000121&orgAcronyme=t5y,False,False,1,2918592.0
1000286,p1v,03/2026/C.L.E,Appel d'offres ouvert,AOO,Travaux,ACQUISITION ET POSE DES POSTES DE TRANSFORMATION ET DE DISTRIBUTION D’ÉLECTRICITÉ POUR LES TRAVAUX DE RENFORCEMENT DU RÉSEAU ÉLECTRIQUE A LA COMMUNE LAMHARZA ESSAHEL.,Commune rurale de LAMHARZA ESSAHEL,Province d'El Jadida,2026-07-10,2026-08-04 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1000286&orgAcronyme=p1v,False,False,1,2915074.65
1000969,d2f,14/2026/MAECAMRE,Appel d'offres ouvert,AOO,Services,"MISE À NIVEAU DE LA DIGITAL FACTORY DU MINISTÈRE DES AFFAIRES ETRANGÈRES, DE LA COOPÉRATION AFRICAINE ET DES MAROCAINS RÉSIDANT À L’ETRANGER À RABAT","MINISTERE DES AFFAIRES ETRANGERES, DE LA COOPERATION AFRICAINE ET DES MAROCAINS RESIDANT A L'ETRANGER",RABAT,2026-07-07,2026-08-18 11:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1000969&orgAcronyme=d2f,False,False,1,11526000.0
1001155,u6i,17/DME/FDP/2026,Consultation architecturale ouverte,CONSA,Services,ÉTUDE ARCHITECTURALE ET SUIVI DES TRAVAUX DE CONSTRUCTION DU POINT DE DÉBARQUEMENT AMENAGE DIKI– COMMUNE KSAR SGHIR- PROVINCE FAHS ANJRA,DOMAINE DES PECHES MARITIMES,FAHS-ANJRA,2026-07-08,2026-08-04 10:30:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1001155&orgAcronyme=u6i,False,False,1,16500000.0
1001926,o8p,05/2026,Appel d'offres ouvert,AOO,Fournitures,"Fourniture de divers effets d’habillement destinés aux différentes catégories du personnel de la DPETL de Mohammedia, Préfecture de Mohammedia- PC 2026",LE DIRECTEUR PROVINCIAL DE L'EQUIPEMENT ET DU TRANSPORT ET DE LA LOGISTIQUE DE MOHAMMADIA,Préfecture de Mohammadia,2026-07-10,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1001926&orgAcronyme=o8p,False,False,1,40015.2
1002411,q1s,10/2026/MAPMDREF/DSI,Appel d'offres ouvert,AOO,Fournitures,"L’achat de matériels informatiques destinés aux services de l’administration centrale du Ministère de l’Agriculture, de la Pêche Maritime, du Développement Rural et des Eaux et Forêts– Département de l’Agriculture – à Rabat, en trois lots : - Lot n°1 : Micro-ordinateurs de bureau ; - Lot n°2 : Imprimantes et scanners ; - Lot n°3 : Micro-ordinateurs portables.",DIRECTEUR DES SYSTEMES D'INFORMATION AUPRES DU MINISTERE DE L'AGRICULTURE ET DE LA PECHE MARITIME,RABAT,2026-07-10,2026-09-08 10:30:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1002411&orgAcronyme=q1s,False,False,3,1968000.0
1002578,g3h,36/FA/DIV.G.F./DIV.M.EQ/ZN/2026,Appel d'offres ouvert,AOO,Fournitures,Achat du matériel et ustensiles de cuisine au profit des différentes casernes des Forces Auxiliaires Zone Nord réparti en deux lots.  Lot n°1 : Réfrigérateur et cuisinière ;  Lot n°2 : matériels et ustensiles de cuisine.,INSPECTION GENERALE DES FORCES AUXILIAIRES - ZONE NORD,RABAT,2026-07-02,2026-08-18 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1002578&orgAcronyme=g3h,False,False,2,3242085.0
1002828,g8e,50/2026,Appel d'offres ouvert,AOO,Fournitures,"Appel d'offres ouvert international sur offres de prix n° 50/2026 , pour la fourniture des brodequins destinés au personnel de l'Administration des Douanes et Impôts Indirects (lot unique).",DIRECTEUR DES DOUANES ET IMPOTS INDIRECTS RABAT,RABAT,2026-07-10,2026-09-08 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1002828&orgAcronyme=g8e,False,False,1,1680000.0
1003098,q9t,27/2026/DAMPS/DM/MC,Appel d'offres ouvert,AOO,Fournitures,Achat des dispositifs médicaux destinés aux Etablissements de Soins de Santé Primaires et Centres Hospitaliers SEGMA du Ministère de la Santé et de la Protection Sociale.,DIRECTION DE L'APPROVISIONNEMENT EN MEDICAMENTS ET PRODUITS DE SANTE,OUJDA-ANGAD,2026-06-02,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1003098&orgAcronyme=q9t,False,False,65,80742145.5
1003588,g8e,51/2026,Appel d'offres ouvert,AOO,Services,"Appel d’offres ouvert national sur offres de prix n° 51/2026 relatif au transport de fonds des Directions Régionales de Dakhla-Oued Eddahab et de Laâyoune-Sakia Al Hamra, au profit de l’Administration des Douanes et Impôts Indirects (lot unique).",DIRECTEUR DES DOUANES ET IMPOTS INDIRECTS RABAT,LAAYOUNE,2026-07-09,2026-08-05 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1003588&orgAcronyme=g8e,False,False,1,422760.0
1004887,g3h,33/2026,Appel d'offres ouvert,AOO,Fournitures,Acquisition de consommables informatiques divers au profit du Service Central du Ministère de l’Intérieur à Rabat (lot unique).,MINISTERE DE L'INTERIEUR,RABAT,2026-07-03,2026-08-19 10:00:00,,https://www.marchespublics.gov.ma/index.php?page=entreprise.EntrepriseDetailConsultation&refConsultation=1004887&orgAcronyme=g3h,False,False,1,2308272.0
